         1058972 function calls (1044521 primitive calls) in 2.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26366    0.232    0.000    0.232    0.000 {method 'split' of 'str' objects}
        1    0.154    0.154    0.154    0.154 {built-in method matplotlib._png.write_png}
        1    0.120    0.120    1.638    1.638 plot_gtex.py:56(main)
    22951    0.111    0.000    0.113    0.000 plot_gtex.py:17(binary_search)
      279    0.111    0.000    0.111    0.000 {built-in method marshal.loads}
    14578    0.046    0.000    0.046    0.000 {built-in method numpy.array}
        1    0.040    0.040    2.264    2.264 plot_gtex.py:1(<module>)
     9938    0.039    0.000    0.039    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1196/1124    0.038    0.000    0.092    0.000 {built-in method builtins.__build_class__}
       39    0.035    0.001    0.037    0.001 {built-in method _imp.create_dynamic}
      132    0.028    0.000    0.033    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    22953    0.024    0.000    0.026    0.000 plot_gtex.py:8(linear_search)
      384    0.022    0.000    0.052    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     8043    0.022    0.000    0.062    0.000 fromnumeric.py:69(_wrapreduction)
      334    0.018    0.000    0.018    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    308/1    0.017    0.000    2.264    2.264 {built-in method builtins.exec}
      510    0.017    0.000    0.170    0.000 lines.py:731(draw)
      434    0.016    0.000    0.216    0.000 _base.py:2486(handle_single_axis)
    20858    0.016    0.000    0.017    0.000 {built-in method builtins.getattr}
   102416    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     1353    0.015    0.000    0.015    0.000 {built-in method posix.stat}
      355    0.015    0.000    0.084    0.000 lines.py:290(__init__)
    14440    0.014    0.000    0.014    0.000 __init__.py:930(__getitem__)
      164    0.014    0.000    0.014    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1309    0.014    0.000    0.018    0.000 transforms.py:2902(nonsingular)
14195/11331    0.013    0.000    0.026    0.000 artist.py:230(stale)
    26543    0.013    0.000    0.013    0.000 artist.py:940(sticky_edges)
41260/41255    0.013    0.000    0.026    0.000 {built-in method builtins.isinstance}
      339    0.011    0.000    0.052    0.000 lines.py:649(recache)
      279    0.011    0.000    0.011    0.000 {method 'read' of '_io.FileIO' objects}
    10911    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
      868    0.010    0.000    0.026    0.000 numeric.py:2508(within_tol)
      279    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      279    0.010    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     3114    0.009    0.000    0.009    0.000 {built-in method numpy.dot}
      217    0.008    0.000    0.021    0.000 _base.py:2476(<listcomp>)
3336/1557    0.008    0.000    0.013    0.000 transforms.py:142(_invalidate_internal)
        1    0.008    0.008    0.008    0.008 backend_agg.py:95(__init__)
     7106    0.008    0.000    0.008    0.000 transforms.py:88(__init__)
     1687    0.008    0.000    0.009    0.000 transforms.py:169(set_children)
2038/1128    0.008    0.000    0.026    0.000 transforms.py:2498(get_affine)
 1811/882    0.008    0.000    0.300    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
69983/69778    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      550    0.008    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    29366    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
     4642    0.007    0.000    0.012    0.000 transforms.py:1767(__init__)
     4030    0.006    0.000    0.013    0.000 abc.py:180(__instancecheck__)
      510    0.006    0.000    0.009    0.000 artist.py:87(__init__)
 1306/659    0.006    0.000    0.015    0.000 units.py:141(get_converter)
       90    0.006    0.000    0.057    0.001 text.py:691(draw)
  267/111    0.006    0.000    0.014    0.000 sre_parse.py:470(_parse)
      217    0.006    0.000    0.006    0.000 _base.py:2477(<listcomp>)
     2284    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
      234    0.006    0.000    0.037    0.000 text.py:276(_get_layout)
      438    0.006    0.000    0.032    0.000 transforms.py:1070(get_points)
     2907    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      217    0.006    0.000    0.007    0.000 __init__.py:2369(normalize_kwargs)
      434    0.005    0.000    0.010    0.000 _base.py:2495(<listcomp>)
     1111    0.005    0.000    0.015    0.000 transforms.py:771(__init__)
      333    0.005    0.000    0.052    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     6148    0.005    0.000    0.005    0.000 _weakrefset.py:70(__contains__)
