         2968492 function calls (2942404 primitive calls) in 2.392 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.555    0.278    0.555    0.278 {built-in method matplotlib._png.write_png}
    63348    0.165    0.000    0.212    0.000 hash_functions.py:19(h_rolling)
    28881    0.093    0.000    0.093    0.000 {method 'split' of 'str' objects}
        1    0.092    0.092    2.393    2.393 plot_gtex.py:1(<module>)
     1833    0.080    0.000    0.080    0.000 transforms.py:164(set_children)
        2    0.059    0.029    0.059    0.029 hash_tables.py:52(<listcomp>)
        1    0.053    0.053    1.946    1.946 plot_gtex.py:61(main)
  1132287    0.047    0.000    0.047    0.000 {built-in method builtins.ord}
      369    0.040    0.000    0.040    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    19610    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      259    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
    21819    0.031    0.000    0.031    0.000 {built-in method numpy.array}
      123    0.028    0.000    0.028    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      576    0.028    0.000    0.051    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      317    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
    45933    0.024    0.000    0.148    0.000 hash_tables.py:61(search)
      198    0.021    0.000    0.025    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
26658/22690    0.020    0.000    0.132    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        3    0.018    0.006    0.019    0.006 backend_agg.py:80(__init__)
    16757    0.018    0.000    0.059    0.000 fromnumeric.py:73(_wrapreduction)
     2467    0.016    0.000    0.028    0.000 inspect.py:613(cleandoc)
       30    0.016    0.001    0.019    0.001 {built-in method _imp.create_dynamic}
      123    0.015    0.000    0.015    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    22953    0.015    0.000    0.016    0.000 plot_gtex.py:13(linear_search)
  914/177    0.014    0.000    0.018    0.000 sre_compile.py:71(_compile)
        2    0.014    0.007    0.060    0.030 font_manager.py:1240(_findfont_cached)
      259    0.014    0.000    0.014    0.000 {method 'read' of '_io.FileIO' objects}
    79586    0.012    0.000    0.019    0.000 {built-in method builtins.isinstance}
 1048/957    0.012    0.000    0.041    0.000 {built-in method builtins.__build_class__}
      334    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    17415    0.011    0.000    0.100    0.000 hash_tables.py:55(add)
      436    0.011    0.000    0.144    0.000 _base.py:2425(handle_single_axis)
      993    0.011    0.000    0.116    0.000 lines.py:751(draw)
    26790    0.010    0.000    0.013    0.000 __init__.py:810(__getitem__)
     4306    0.010    0.000    0.011    0.000 font_manager.py:1119(score_stretch)
21693/16650    0.009    0.000    0.018    0.000 artist.py:219(stale)
      376    0.008    0.000    0.010    0.000 colors.py:185(_to_rgba_no_colorcycle)
     1334    0.008    0.000    0.011    0.000 transforms.py:2791(nonsingular)
     4306    0.008    0.000    0.019    0.000 font_manager.py:1058(score_family)
    26094    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
107384/106424    0.008    0.000    0.008    0.000 {built-in method builtins.len}
3669/2130    0.008    0.000    0.023    0.000 transforms.py:2395(get_affine)
      655    0.007    0.000    0.038    0.000 transforms.py:708(intersection)
      415    0.007    0.000    0.052    0.000 lines.py:273(__init__)
   107756    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      875    0.007    0.000    0.016    0.000 numeric.py:2256(within_tol)
  456/184    0.006    0.000    0.016    0.000 sre_parse.py:475(_parse)
     5517    0.006    0.000    0.026    0.000 transforms.py:1025(get_points)
