         1014025 function calls (999899 primitive calls) in 28.933 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45904   26.935    0.001   26.949    0.001 plot_gtex.py:8(linear_search)
        1    0.176    0.176   28.361   28.361 plot_gtex.py:56(main)
    26364    0.168    0.000    0.168    0.000 {method 'split' of 'str' objects}
        1    0.167    0.167    0.167    0.167 {built-in method matplotlib._png.write_png}
      279    0.091    0.000    0.091    0.000 {built-in method marshal.loads}
        1    0.057    0.057   28.935   28.935 plot_gtex.py:1(<module>)
    14031    0.038    0.000    0.038    0.000 {built-in method numpy.array}
     8804    0.037    0.000    0.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1196/1124    0.035    0.000    0.091    0.000 {built-in method builtins.__build_class__}
       39    0.026    0.001    0.027    0.001 {built-in method _imp.create_dynamic}
      384    0.021    0.000    0.052    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     7809    0.019    0.000    0.061    0.000 fromnumeric.py:69(_wrapreduction)
68823/68618    0.019    0.000    0.019    0.000 {built-in method builtins.len}
    308/1    0.017    0.000   28.935   28.935 {built-in method builtins.exec}
      334    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      434    0.016    0.000    0.227    0.001 _base.py:2486(handle_single_axis)
     1353    0.016    0.000    0.016    0.000 {built-in method posix.stat}
    26503    0.016    0.000    0.016    0.000 artist.py:940(sticky_edges)
40480/40475    0.014    0.000    0.028    0.000 {built-in method builtins.isinstance}
13909/11101    0.014    0.000    0.027    0.000 artist.py:230(stale)
      349    0.014    0.000    0.087    0.000 lines.py:290(__init__)
    14114    0.013    0.000    0.013    0.000 __init__.py:930(__getitem__)
    20500    0.013    0.000    0.015    0.000 {built-in method builtins.getattr}
      506    0.012    0.000    0.119    0.000 lines.py:731(draw)
      868    0.011    0.000    0.028    0.000 numeric.py:2508(within_tol)
     1309    0.011    0.000    0.015    0.000 transforms.py:2902(nonsingular)
      217    0.011    0.000    0.026    0.000 _base.py:2476(<listcomp>)
      333    0.010    0.000    0.050    0.000 lines.py:649(recache)
    84942    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    10765    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
      156    0.009    0.000    0.009    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.009    0.009    0.009    0.009 backend_agg.py:95(__init__)
     2920    0.008    0.000    0.008    0.000 {built-in method numpy.dot}
      279    0.008    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:830(get_data)
3225/1450    0.008    0.000    0.013    0.000 transforms.py:142(_invalidate_internal)
      279    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
     4000    0.007    0.000    0.014    0.000 abc.py:180(__instancecheck__)
      550    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
1914/1060    0.007    0.000    0.023    0.000 transforms.py:2498(get_affine)
    29366    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
     6762    0.007    0.000    0.007    0.000 transforms.py:88(__init__)
 1306/715    0.006    0.000    0.018    0.000 units.py:141(get_converter)
      498    0.006    0.000    0.009    0.000 artist.py:87(__init__)
      217    0.006    0.000    0.006    0.000 _base.py:2477(<listcomp>)
      279    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      217    0.006    0.000    0.008    0.000 __init__.py:2369(normalize_kwargs)
      434    0.006    0.000    0.010    0.000 _base.py:2495(<listcomp>)
      868    0.006    0.000    0.057    0.000 numeric.py:2431(isclose)
     4344    0.006    0.000    0.010    0.000 transforms.py:1767(__init__)
     1101    0.005    0.000    0.017    0.000 transforms.py:771(__init__)
  267/111    0.005    0.000    0.014    0.000 sre_parse.py:470(_parse)
      382    0.005    0.000    0.029    0.000 transforms.py:1070(get_points)
      440    0.005    0.000    0.014    0.000 __init__.py:332(connect)
     2144    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6153    0.005    0.000    0.005    0.000 _weakrefset.py:70(__contains__)
    23170    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      874    0.005    0.000    0.017    0.000 _base.py:3052(_validate_converted_limits)
      217    0.005    0.000    0.276    0.001 _base.py:2451(autoscale_view)
      217    0.005    0.000    0.005    0.000 _base.py:2478(<listcomp>)
     8444    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
     1758    0.005    0.000    0.005    0.000 numeric.py:2758(geterr)
      605    0.005    0.000    0.013    0.000 inspect.py:2100(_signature_from_function)
     1647    0.005    0.000    0.005    0.000 transforms.py:169(set_children)
     7809    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
      769    0.005    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1758    0.005    0.000    0.012    0.000 numeric.py:2656(seterr)
      217    0.004    0.000    0.086    0.000 _base.py:352(_plot_args)
       27    0.004    0.000    0.022    0.001 __init__.py:1041(_rc_params_in_file)
     2900    0.004    0.000    0.011    0.000 transforms.py:1912(__init__)
      222    0.004    0.000    0.027    0.000 text.py:276(_get_layout)
    692/2    0.004    0.000    0.244    0.122 artist.py:47(draw_wrapper)
      219    0.004    0.000    0.034    0.000 _base.py:3071(set_xlim)
       72    0.004    0.000    0.005    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      440    0.004    0.000    0.053    0.000 transforms.py:740(union)
       86    0.004    0.000    0.037    0.000 text.py:691(draw)
      566    0.004    0.000    0.018    0.000 inspect.py:1087(getfullargspec)
      880    0.004    0.000    0.004    0.000 __init__.py:160(__init__)
      274    0.004    0.000    0.006    0.000 transforms.py:2007(rotate)
      217    0.004    0.000    0.520    0.002 _axes.py:1288(plot)
    14137    0.004    0.000    0.004    0.000 artist.py:715(get_animated)
      333    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      231    0.004    0.000    0.057    0.000 artist.py:650(set_clip_path)
     3470    0.004    0.000    0.039    0.000 re.py:286(_compile)
       78    0.004    0.000    0.004    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1680    0.004    0.000    0.012    0.000 artist.py:184(convert_xunits)
       40    0.003    0.000    0.005    0.000 {method 'sort' of 'list' objects}
     2508    0.003    0.000    0.018    0.000 colors.py:142(to_rgba)
     1604    0.003    0.000    0.010    0.000 __init__.py:583(is_numlike)
     9134    0.003    0.000    0.006    0.000 {method 'get' of 'dict' objects}
      218    0.003    0.000    0.023    0.000 _base.py:3391(set_ylim)
      217    0.003    0.000    0.143    0.001 _base.py:1949(add_line)
      186    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.update_path_extents}
      376    0.003    0.000    0.003    0.000 {built-in method zlib.crc32}
      335    0.003    0.000    0.008    0.000 shape_base.py:599(column_stack)
     2964    0.003    0.000    0.009    0.000 colors.py:107(_is_nth_color)
      596    0.003    0.000    0.009    0.000 backend_bases.py:849(__init__)
      333    0.003    0.000    0.003    0.000 stride_tricks.py:185(_broadcast_shape)
      394    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
